FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=4376, fi_cycle=2474327, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=20, opcode=mul
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=2625, fi_cycle=1645076, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=7, opcode=mul
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=4377, fi_cycle=3377972, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=5, opcode=sub
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=2539, fi_cycle=368364, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=1, fi_bit=0, opcode=icmp
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=2601, fi_cycle=2828635, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=22, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=1372, fi_cycle=3261916, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=10, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=4376, fi_cycle=3381303, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=26, opcode=mul
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=3142, fi_cycle=309742, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=4, opcode=add
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=4375, fi_cycle=2769830, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=37, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=4374, fi_cycle=1559463, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=26, opcode=mul
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=2539, fi_cycle=2167460, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=1, fi_bit=0, opcode=icmp
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=2641, fi_cycle=485648, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=19, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=4374, fi_cycle=62120, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=62, opcode=mul
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=4368, fi_cycle=659198, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=21, opcode=sdiv
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=301, fi_cycle=2421767, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=16, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=2635, fi_cycle=2853737, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=62, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=4371, fi_cycle=2481607, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=8, opcode=load
